,h3_09,SHAPE
28,8928d59101bffff,"""{\""rings\"":[[[-122.88264444799995,47.037432008000053],[-122.88520681099999,47.037194714000066],[-122.88659940399998,47.038512045000061],[-122.88542963599997,47.04006669000006],[-122.88286719099995,47.040304001000038],[-122.88147459499999,47.038986650000027],[-122.88264444799995,47.037432008000053]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
29,8928d59a547ffff,"""{\""rings\"":[[[-122.82530831799994,47.047065308000072],[-122.82787202099996,47.046829209000066],[-122.82926436699995,47.048147246000042],[-122.82809301299994,47.04970140100005],[-122.82552922799999,47.049937517000046],[-122.82413687899998,47.048619461000044],[-122.82530831799994,47.047065308000072]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
30,8928f36495bffff,"""{\""rings\"":[[[-122.84198824699996,47.012255752000044],[-122.84455059699997,47.012019448000046],[-122.84594249199995,47.013338004000047],[-122.84477203899996,47.014892884000062],[-122.84220960699997,47.01512920600004],[-122.84081770899996,47.01381063000008],[-122.84198824699996,47.012255752000044]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
31,8928d591ca3ffff,"""{\""rings\"":[[[-122.95338431699997,47.051104151000061],[-122.95594579199997,47.050865270000031],[-122.95733910499996,47.05218115100007],[-122.95617094499994,47.053735932000052],[-122.95360938699997,47.053974831000062],[-122.95221607199994,47.052658931000053],[-122.95338431699997,47.051104151000061]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
32,8928d59152fffff,"""{\""rings\"":[[[-122.92107421399999,47.033866905000025],[-122.92363576499997,47.033628798000052],[-122.92502856899995,47.034945590000063],[-122.92385982599995,47.036500509000064],[-122.92129819199999,47.036738634000073],[-122.91990538499999,47.035421822000046],[-122.92107421399999,47.033866905000025]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
33,8928d59a197ffff,"""{\""rings\"":[[[-122.84135398299998,47.054263854000055],[-122.84391760899996,47.054027377000068],[-122.84531018699994,47.055344992000073],[-122.84413914099997,47.056899104000081],[-122.84157543199996,47.057135599000048],[-122.84018285199994,47.055817964000028],[-122.84135398299998,47.054263854000055]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
34,8928d5912b3ffff,"""{\""rings\"":[[[-122.87166909999996,47.045679116000031],[-122.87423191299996,47.045442022000032],[-122.87562456399996,47.046759344000066],[-122.87445440499999,47.048313778000079],[-122.87189150899997,47.048550889000069],[-122.87049885599998,47.047233549000055],[-122.87166909999996,47.045679116000031]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
35,8928d591037ffff,"""{\""rings\"":[[[-122.89846430599999,47.04175108700008],[-122.90102650899996,47.041513432000045],[-122.90241928399996,47.042830411000068],[-122.90124985899996,47.04438506300005],[-122.89868757299996,47.044622736000065],[-122.89729479499999,47.043305738000072],[-122.89846430599999,47.04175108700008]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
36,8928d5903cbffff,"""{\""rings\"":[[[-122.95621332299999,47.037826388000042],[-122.95877434599998,47.037587505000033],[-122.96016746099997,47.038903641000047],[-122.95899955499999,47.040458679000039],[-122.95643844899996,47.040697580000028],[-122.95504533099995,47.039381424000055],[-122.95621332299999,47.037826388000042]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
37,8928f364977ffff,"""{\""rings\"":[[[-122.85780526099995,47.016583690000061],[-122.86036745199999,47.016347025000073],[-122.86175952899998,47.017665228000055],[-122.86058941799996,47.019220116000042],[-122.85802714499999,47.019456799000068],[-122.85663506499998,47.018138576000069],[-122.85780526099995,47.016583690000061]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
38,8928d59154bffff,"""{\""rings\"":[[[-122.89757138599998,47.030263296000044],[-122.90013325999996,47.030025712000054],[-122.90152584099997,47.031342965000078],[-122.90035654999997,47.032897822000052],[-122.89779459399995,47.033135423000033],[-122.89640201099996,47.031818151000039],[-122.89757138599998,47.030263296000044]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
39,8928d5912cfffff,"""{\""rings\"":[[[-122.85255717399997,47.048891556000058],[-122.85512043299997,47.048654860000056],[-122.85651300199999,47.049972417000049],[-122.85534231399998,47.051526688000081],[-122.85277897199995,47.051763401000073],[-122.85138639999997,47.050445825000054],[-122.85255717399997,47.048891556000058]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
40,8928d591053ffff,"""{\""rings\"":[[[-122.87495703199994,47.038143564000052],[-122.87751955799996,47.037906433000046],[-122.87891210899994,47.039223872000036],[-122.87774213599999,47.040778461000059],[-122.87517952799999,47.041015610000045],[-122.87378697499997,47.039698151000039],[-122.87495703199994,47.038143564000052]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
41,8928d590663ffff,"""{\""rings\"":[[[-122.93554496499996,47.020949759000075],[-122.93810586099994,47.02071139800006],[-122.93949855499994,47.022028249000073],[-122.93833035599999,47.023583482000049],[-122.93576937799997,47.023821861000044],[-122.93437667999996,47.022504990000073],[-122.93554496499996,47.020949759000075]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
42,8928d5912afffff,"""{\""rings\"":[[[-122.87211393299998,47.051422543000058],[-122.87467691099999,47.051185414000031],[-122.876069659,47.052502599000036],[-122.87489943199995,47.054056931000048],[-122.87233637099996,47.054294077000065],[-122.87094362099998,47.05297687400008],[-122.87211393299998,47.051422543000058]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
43,8928d591cdbffff,"""{\""rings\"":[[[-122.92987997899996,47.047509606000062],[-122.93244177899999,47.047271248000072],[-122.93383486799996,47.048587589000078],[-122.93266616099999,47.050142308000034],[-122.93010427799999,47.050380684000061],[-122.92871118599999,47.049064323000039],[-122.92987997899996,47.047509606000062]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
44,8928d591567ffff,"""{\""rings\"":[[[-122.91338923599994,47.034580902000073],[-122.91595094999997,47.034342957000035],[-122.91734371199999,47.035659857000041],[-122.91617476299996,47.037214721000055],[-122.91361296699995,47.037452684000073],[-122.91222020199996,47.036135764000051],[-122.91338923599994,47.034580902000073]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
45,8928d59106fffff,"""{\""rings\"":[[[-122.88353550799997,47.048919264000062],[-122.88609820099998,47.048681900000076],[-122.88749098799997,47.049998956000081],[-122.88632108499996,47.051553397000077],[-122.88375830999996,47.051790779000044],[-122.88236551999995,47.050473702000033],[-122.88353550799997,47.048919264000062]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
46,8928d5915b7ffff,"""{\""rings\"":[[[-122.92786195099995,47.021664520000058],[-122.93042300999997,47.021426320000046],[-122.93181566199996,47.022743279000053],[-122.93064725799996,47.024298457000043],[-122.92808611699996,47.024536674000046],[-122.92669346099996,47.02321969500008],[-122.92786195099995,47.021664520000058]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
47,8928f3649afffff,"""{\""rings\"":[[[-122.86900133999995,47.011208502000045],[-122.87156316399995,47.010971619000031],[-122.87295523199998,47.012289764000059],[-122.87178547899998,47.01384481100007],[-122.86922357299994,47.014081711000074],[-122.86783150199994,47.012763547000077],[-122.86900133999995,47.011208502000045]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
48,8928d591307ffff,"""{\""rings\"":[[[-122.89211570999998,47.059692139000049],[-122.89467856999994,47.059454541000036],[-122.89607159399998,47.060771216000035],[-122.89490176099997,47.062325507000025],[-122.89233881799998,47.062563122000029],[-122.89094579099998,47.061246428000061],[-122.89211570999998,47.059692139000049]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
49,8928d59108bffff,"""{\""rings\"":[[[-122.88615369999997,47.032767872000079],[-122.88871585899994,47.032530523000048],[-122.89010839999997,47.033847903000037],[-122.88893878599998,47.035402652000073],[-122.88637654499996,47.035640018000038],[-122.88498399999997,47.034322618000033],[-122.88615369999997,47.032767872000079]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
50,8928d59a5b7ffff,"""{\""rings\"":[[[-122.84793643899997,47.039194003000034],[-122.85049949099999,47.038957451000044],[-122.85189186799994,47.040275301000065],[-122.85072119599999,47.041829724000081],[-122.84815806099999,47.042066294000051],[-122.84676568099997,47.040748424000071],[-122.84793643899997,47.039194003000034]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
51,8928d5910a7ffff,"""{\""rings\"":[[[-122.90197253299999,47.037086927000075],[-122.90453453099997,47.036849218000043],[-122.90592725399995,47.03816624500007],[-122.90475798199998,47.039721002000078],[-122.90219590099997,47.039958729000034],[-122.90080317499996,47.038641682000048],[-122.90197253299999,47.037086927000075]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
52,8928f36494bffff,"""{\""rings\"":[[[-122.84220960699997,47.01512920600004],[-122.84477203899996,47.014892884000062],[-122.84616398299994,47.016211371000054],[-122.84499349699996,47.01776620000004],[-122.84243098199994,47.018002539000065],[-122.84103903599998,47.016684032000057],[-122.84220960699997,47.01512920600004]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
53,8928d5915bbffff,"""{\""rings\"":[[[-122.92017844799994,47.02237879200004],[-122.92273966999994,47.022140755000066],[-122.92413227999998,47.023457822000069],[-122.92296367199998,47.025012945000071],[-122.92040236799994,47.025251000000026],[-122.91900975499999,47.023933913000064],[-122.92017844799994,47.02237879200004]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
54,8928d5910c3ffff,"""{\""rings\"":[[[-122.87846689899999,47.033479593000038],[-122.88102921999996,47.033242406000056],[-122.88242171899998,47.034559895000029],[-122.8812519,47.036114588000032],[-122.87868949699998,47.036351792000062],[-122.87729699499999,47.035034284000062],[-122.87846689899999,47.033479593000038]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
55,8928d590263ffff,"""{\""rings\"":[[[-122.93711616699994,47.041051960000061],[-122.93967763899997,47.040813474000061],[-122.94107067299996,47.042129845000034],[-122.93990223799995,47.043684721000034],[-122.93734068399999,47.043923224000025],[-122.93594764599999,47.042606834000026],[-122.93711616699994,47.041051960000061]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
56,8928d591d4bffff,"""{\""rings\"":[[[-122.95450981699997,47.065456354000048],[-122.95707170399999,47.065217385000039],[-122.95846525899998,47.066532922000079],[-122.95729693099997,47.068087449000075],[-122.95473496099999,47.068326436000063],[-122.95334140299997,47.067010879000065],[-122.95450981699997,47.065456354000048]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
57,8928d59135bffff,"""{\""rings\"":[[[-122.87278129199996,47.060036787000058],[-122.87534451699997,47.05979960500008],[-122.87673741099997,47.061116583000057],[-122.87556708199998,47.062670763000028],[-122.87300377499997,47.062907962000054],[-122.87161087799996,47.061590964000061],[-122.87278129199996,47.060036787000058]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
58,8928d591377ffff,"""{\""rings\"":[[[-122.88860579999999,47.064354903000037],[-122.89116886599999,47.064117360000068],[-122.89256194099994,47.065433986000073],[-122.89139195499996,47.066988173000027],[-122.88882880699998,47.067225733000043],[-122.88743572799996,47.065909088000069],[-122.88860579999999,47.064354903000037]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
59,8928d590213ffff,"""{\""rings\"":[[[-122.94017223099996,47.030643936000047],[-122.94273333299998,47.030405432000066],[-122.94412621799995,47.031721989000062],[-122.94295800399999,47.033277071000043],[-122.94039681899994,47.033515593000061],[-122.93900393099995,47.03219901600005],[-122.94017223099996,47.030643936000047]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
60,8928d59ad9bffff,"""{\""rings\"":[[[-122.88905182799999,47.070096443000068],[-122.89161505899995,47.069858866000061],[-122.89300823099995,47.071175354000047],[-122.89183817699995,47.072729439000057],[-122.88927486499995,47.072967034000044],[-122.88788168899998,47.071650527000031],[-122.88905182799999,47.070096443000068]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
61,8928d59188bffff,"""{\""rings\"":[[[-122.94309303699998,47.067966142000046],[-122.94565520999998,47.067727407000064],[-122.94704872699998,47.069043072000056],[-122.94588007399994,47.070597491000058],[-122.94331781899996,47.070836243000031],[-122.94192429899999,47.069520558000079],[-122.94309303699998,47.067966142000046]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
62,8928d59160fffff,"""{\""rings\"":[[[-122.85913678399999,47.033820548000051],[-122.86169946899997,47.033583778000036],[-122.86309183699996,47.034901570000045],[-122.86192152299998,47.036456151000039],[-122.85935875599995,47.036692939000034],[-122.85796638399995,47.035375128000055],[-122.85913678399999,47.033820548000051]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
63,8928d591393ffff,"""{\""rings\"":[[[-122.89122342499996,47.048207008000077],[-122.89378595499994,47.047969481000052],[-122.89517878499998,47.049286430000052],[-122.89400908699997,47.050840926000035],[-122.89144647399996,47.05107847000005],[-122.89005364099995,47.049761502000081],[-122.89122342499996,47.048207008000077]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
64,8928d591117ffff,"""{\""rings\"":[[[-122.91801534299998,47.044274586000029],[-122.92057726299998,47.044036498000025],[-122.92197021599998,47.045353104000071],[-122.92080125199999,47.046907817000033],[-122.91823924999994,47.047145923000073],[-122.91684629299999,47.045829297000068],[-122.91801534299998,47.044274586000029]]],\""spatialReference\"":{\""wkid\"":4326,\""latestWkid\"":4326}}"""
